"Members;""Level"";""Attacks"";""Score"""
"Duncan_Idaho [448041];""100"";""119"";""1137.36"""
"Pirz [2007697];""79"";""98"";""578.36"""
"Desire [381478];""92"";""63"";""492.53"""
"Pellz [2263153];""24"";""73"";""381.34"""
"Pleasantness [943055];""75"";""60"";""358.10"""
"Jaska72 [2703251];""15"";""81"";""340.40"""
"-rufus- [2079947];""70"";""65"";""332.61"""
"Mr300 [2285632];""75"";""49"";""311.35"""
"_Wanderer_ [2450580];""50"";""45"";""303.06"""
"xaos84 [2072331];""15"";""52"";""245.29"""
"TheFinalStage [2679970];""35"";""48"";""222.54"""
"Robkroupa [2655006];""38"";""63"";""216.66"""
"Und3rSc0r3 [2367854];""33"";""37"";""172.25"""
"Greyjoy [2649971];""31"";""29"";""161.45"""
"Miracle- [2555480];""40"";""47"";""158.34"""
"SherlockSHolmes [2050008];""30"";""35"";""156.18"""
"MarioMajere [531214];""35"";""59"";""149.82"""
"Smallsplat [2018905];""57"";""35"";""118.65"""
"patapon040 [2547411];""21"";""28"";""113.90"""
"Nokashii [1970120];""55"";""21"";""110.93"""
"sdrojefs [2667124];""28"";""26"";""108.94"""
"T_T [1578727];""50"";""15"";""102.01"""
"Picshua [1567851];""43"";""17"";""98.82"""
"adrian22 [1950042];""35"";""18"";""59.52"""
"melchito [1914779];""42"";""14"";""55.43"""
"Aqollo [2011520];""15"";""17"";""48.91"""
"Wei_wuxian [2695911];""28"";""15"";""48.82"""
"Gogs247 [1531870];""87"";""8"";""40.29"""
"JJ_ [61216];""55"";""5"";""31.31"""
"Chazborn [1897586];""47"";""9"";""29.97"""
"ShmemSolid [1962600];""44"";""2"";""22.30"""
"MaxCreavy [1890070];""50"";""6"";""20.70"""
"NtLn [693849];""21"";""2"";""8.67"""
"Rider44 [2407969];""38"";""2"";""7.04"""
"Soloking [986249];""50"";""3"";""6.65"""
"PacoBacoTaco [2619888];""25"";""1"";""4.81"""
"Tech1 [2107496];""67"";""1"";""4.41"""
"KingTynon [2001223];""50"";""1"";""2.10"""
"jeboon [2033757];""41"";""1"";""1.99"""
"Ombre [1825443];""63"";""0"";""0.00"""
"Parthanopaeus [2337980];""35"";""0"";""0.00"""
"Bandy [279891];""53"";""0"";""0.00"""
"aerysian [2543038];""34"";""0"";""0.00"""
"Blackline [1741950];""48"";""0"";""0.00"""
"JunkRate [2476547];""16"";""0"";""0.00"""
"Glenn_Arias [2485612];""15"";""0"";""0.00"""
"Tigermercy [1322290];""15"";""0"";""0.00"""
"Moomin_mama [2314633];""19"";""0"";""0.00"""
"Teyru [2020089];""51"";""0"";""0.00"""
"TsunadeSenju [1593419];""49"";""0"";""0.00"""
"Jackw46 [2344267];""35"";""0"";""0.00"""
"Bimsonator [2162722];""37"";""0"";""0.00"""
"Dynamo160120 [2404815];""18"";""0"";""0.00"""
"Left_Handed_1 [999285];""88"";""0"";""0.00"""
"ElKito [2578504];""43"";""0"";""0.00"""
"Synen [1882020];""31"";""0"";""0.00"""
"Dailynoob [2693523];""20"";""0"";""0.00"""
"Uncle_techsupom [2484417];""32"";""0"";""0.00"""
"A1Critical_K [2033380];""15"";""0"";""0.00"""
"DaHoodRider [2040536];""26"";""0"";""0.00"""
"brobro78 [2694173];""14"";""0"";""0.00"""
"YashPogi [2462898];""25"";""0"";""0.00"""
"Arrowspace [1824402];""33"";""0"";""0.00"""
"Xiphos [13375];""96"";""0"";""0.00"""
"The_Ramboo [1969059];""32"";""0"";""0.00"""
"Senior_White [2709954];""17"";""0"";""0.00"""
"jozoelay [2100797];""25"";""0"";""0.00"""
"ZachLee [2067794];""23"";""0"";""0.00"""
"Steamplayz [2723303];""15"";""0"";""0.00"""
"Ausjade [2749610];""15"";""0"";""0.00"""
"Petkoslav [2589733];""30"";""0"";""0.00"""
